Subject;Description;Type;Status;Priority;Assignee;Parent;Estimated hours;Notes
EPIC 1 - Module Chauffeurs V1 production;Mise en production complete du module chauffeur (inscription wizard, dispatch FCFS, back-office admin) bloque depuis 2026-05-13 par le stockage de fichiers;Epic;New;High;Fayssal;;;Code livre a 100 pour cent en untracked - 5500 lignes
CH-001 - Setup Cloudflare R2;Creer compte Cloudflare + bucket R2 izymoto-drivers + cles API (Access Key ID + Secret) + configurer CORS pour upload depuis le navigateur;Task;New;Immediate;Fayssal;EPIC 1 - Module Chauffeurs V1 production;2;10 GB gratuit / zero frais de sortie - meilleure alternative a Firebase Storage
CH-002 - Lib storage R2;Creer lib/storage/r2.ts avec fonctions uploadFile signedUrl deleteFile - utiliser @aws-sdk/client-s3 (R2 est S3-compatible);Task;New;Immediate;Fayssal;EPIC 1 - Module Chauffeurs V1 production;4;Implementation avec presigned URLs pour upload direct depuis le client
CH-003 - Refactor DocumentUploadField;Remplacer les appels Firebase Storage dans components/chauffeur/DocumentUploadField.tsx par les helpers R2 (presigned URL + PUT direct);Task;New;Immediate;Fayssal;EPIC 1 - Module Chauffeurs V1 production;3;
CH-004 - Refactor lib drivers uploads;Modifier lib/firebase/drivers.ts pour stocker la cle R2 (path) au lieu de l'URL Firebase dans le doc drivers/{uid};Task;New;Immediate;Fayssal;EPIC 1 - Module Chauffeurs V1 production;2;
CH-005 - Endpoint signed URL admin;Creer /api/admin/drivers/[uid]/document/[kind] qui genere une signed URL R2 (expiration 15min) pour que l'admin telecharge les docs sans exposer le bucket;Task;New;High;Fayssal;EPIC 1 - Module Chauffeurs V1 production;3;Auth Firebase admin + check isAdmin
CH-006 - Commit module chauffeur;Commit des 5500 lignes en untracked apres validation migration R2 - 1 commit par scope (wizard / pool / mes-courses / admin / hooks);Task;New;High;Fayssal;EPIC 1 - Module Chauffeurs V1 production;1;
CH-007 - Durcissement regles Firestore;Regles drivers/{uid} - lecture par owner ou admin uniquement - ecriture par owner pour son profil - admin pour status/role;Task;New;Immediate;Fayssal;EPIC 1 - Module Chauffeurs V1 production;3;CLAUDE.md interdit modif regles sans demande explicite
CH-008 - Emails chauffeur;Templates Resend dans lib/emails/ - validation KYC - refus KYC avec motif - notification course acceptee cote client;Task;New;Normal;Fayssal;EPIC 1 - Module Chauffeurs V1 production;5;
CH-009 - Tests E2E parcours chauffeur;Tester en staging - inscription wizard 5 etapes - validation admin - bascule online - acceptation course - demarrage - fin - capture admin;Task;New;Normal;Fayssal;EPIC 1 - Module Chauffeurs V1 production;4;
EPIC 2 - Stripe Connect versement chauffeurs;Integration Stripe Connect Express pour split automatique 80/20 et virement chauffeur compliant ACPR;Epic;New;High;Fayssal;;;
PAY-001 - Decision modele commission client;Presenter au client les 4 options - A Stripe Connect Express recommande - B Mangopay/Lemonway - C Abonnement chauffeur - D Hybride wallet - arbitrage final;Task;New;Immediate;Client + Fayssal;EPIC 2 - Stripe Connect versement chauffeurs;1;Bloquant pour toute la suite paiement
PAY-002 - Activation Stripe Connect;Activer Stripe Connect sur le compte Stripe Izymoto - mode Express - validation plateforme par Stripe (24-72h);Task;New;High;Client + Fayssal;EPIC 2 - Stripe Connect versement chauffeurs;1;Depend de PAY-001
PAY-003 - Onboarding Express dans wizard;Integrer Stripe Account Links a l'etape RIB du wizard chauffeur - rediriger vers connect.stripe.com - gerer le retour avec status check;Task;New;High;Fayssal;EPIC 2 - Stripe Connect versement chauffeurs;4;Remplace partiellement l'etape RIB actuelle
PAY-004 - Split automatique a la capture;Modifier create-payment-intent et capture-payment pour utiliser transfer_data destination + application_fee_amount 20 pour cent;Task;New;High;Fayssal;EPIC 2 - Stripe Connect versement chauffeurs;3;
PAY-005 - Dashboard versements chauffeur;Section Mes gains dans /chauffeur/profil - historique versements - solde Stripe - IBAN connecte;Task;New;Normal;Fayssal;EPIC 2 - Stripe Connect versement chauffeurs;4;
EPIC 3 - SEO et Analytics;GA4 + conformite RGPD + optimisation acquisition;Epic;New;High;;;;
